En_Fed,Cent_Just,Period,Tot_Cent,Tot_Mujer,Pareja,Expareja,Novio,Novia,Padre,Madre,Abuelo,Abuela,Pariente distinto a la pareja,Amigo,Amiga,Desconocido,Maestro/Autoridad escolar M,Maestra/Autoridad escolar F,Compa_esc_M,Comp_esc_F,Jefe,Jefa,Comp_trab_F,Comp_trab_M,Servidora_pub,Servidor_pub,Otro(s)1,No especificado
 Guerrero,"Chilpancingo de los Bravo,Guerrero",Al 30 de junio de 2021,1,  1 195,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,  1 195
 Guerrero,"Tlapa de Comonfort,Guerrero",2019,1,284,82,25,15,0,53,36,6,6,40,10,0,0,1,0,2,0,1,0,0,0,0,0,7,0
 Guerrero,"Tlapa de Comonfort,Guerrero",2020,1,305,82,20,13,0,66,29,0,0,71,0,0,0,0,0,3,0,0,0,0,0,3,5,13,0
 Guerrero,"Tlapa de Comonfort,Guerrero",Al 30 de junio de 2021,1,139,25,14,10,0,44,15,0,0,16,7,0,0,1,0,3,0,0,0,0,1,0,2,1,0
 Hidalgo,"Pachuca de Soto,Hidalgo",2019,1,  3 515,735,334,21,0,13,0,0,0,0,1,0,1,0,0,0,0,2,0,0,2,0,0,0,  2 406
 Hidalgo,"Pachuca de Soto,Hidalgo",2020,1,  2 824,766,510,12,0,19,0,0,0,0,4,0,4,0,0,0,0,3,0,0,1,0,0,0,  1 505
 Hidalgo,"Pachuca de Soto,Hidalgo",Al 30 de junio de 2021,1,  1 714,497,490,2,0,7,0,0,0,0,2,0,4,0,0,0,0,1,0,0,0,0,0,0,711
 Jalisco,"Guadalajara,Jalisco",2019,1,  14 677,  7 845,  2 776,414,0,190,22,5,0,  1 414,ND,ND,  1 886,2,0,0,0,57,0,0,66,0,0,0,0
 Jalisco,"Guadalajara,Jalisco",2020,1,  14 920,  6 499,  3 572,395,0,230,31,10,0,  1 906,ND,ND,  2 062,0,0,0,0,100,0,0,115,0,0,0,0
 Jalisco,"Guadalajara,Jalisco",Al 30 de junio de 2021,1,  10 171,  2 429,  1 822,243,0,119,21,2,0,  1 631,ND,ND,  1 810,0,0,0,0,55,0,0,72,0,0,0,  1 967
 Jalisco,"Puerto Vallarta,Jalisco",2019,1,  1 351,561,562,20,ND,7,2,ND,ND,169,ND,ND,13,ND,ND,ND,ND,7,ND,ND,10,ND,ND,0,0
 Jalisco,"Puerto Vallarta,Jalisco",2020,1,  1 270,489,512,6,ND,15,2,ND,ND,205,ND,ND,27,ND,ND,ND,ND,1,ND,ND,13,ND,ND,0,0
 Jalisco,"Puerto Vallarta,Jalisco",Al 30 de junio de 2021,1,671,244,265,3,ND,6,1,ND,ND,114,ND,ND,31,ND,ND,ND,ND,3,ND,ND,4,ND,ND,0,0
 Mexico,"Amecameca,México",2019,1,  8 315,678,70,146,0,102,87,15,8,23,15,0,215,21,0,0,7,8,0,0,9,3,236,0,  6 672
 Mexico,"Amecameca,México",2020,1,  4 640,  1 056,489,269,10,478,102,336,11,14,8,0,87,5,0,0,0,15,0,0,28,9,456,0,  1 267
 Mexico,"Amecameca,México",Al 30 de junio de 2021,1,  5 436,  1 209,421,102,0,311,49,189,2,6,7,0,53,0,0,0,0,11,0,0,47,6,357,0,  2 666
 Mexico,"Cuautitlán,Mexico",2019,1,  9 462,  2 923,821,364,ND,  1 247,311,261,ND,ND,ND,ND,ND,55,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,  3 480
 Mexico,"Cuautitlán,Mexico",2020,1,  5 936,  2 648,799,ND,ND,996,248,227,ND,ND,ND,ND,ND,44,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,974
 Mexico,"Cuautitlán,Mexico",Al 30 de junio de 2021,1,  7 926,  2 224,714,297,ND,833,128,194,ND,ND,ND,ND,ND,39,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,  3 497
 Mexico,"Ecatepec de Morelos,Mexico",2019,1,  18 376,  12 368,  3 441,851,0,450,33,304,7,0,22,0,889,2,0,3,0,6,0,0,0,0,0,0,0
 Mexico,"Ecatepec de Morelos,Mexico",2020,1,  21 941,  15 720,  3 524,929,0,403,18,411,3,0,25,0,903,5,0,0,0,0,0,0,0,0,0,0,0
 Mexico,"Ecatepec de Morelos,Mexico",Al 30 de junio de 2021,1,  11 817,  7 330,  3 515,373,0,106,0,61,0,0,7,0,425,0,0,0,0,0,0,0,0,0,0,0,0
 Mexico,"Toluca,Mexico",2019,1,  29 037,  8 720,  5 452,  3 520,0,  4 552,  2 960,340,0,640,340,0,502,40,0,30,0,45,1,0,  1 823,0,72,0,0
 Mexico,"Toluca,Mexico",2020,1,  16 570,  4 868,  2 840,  1 750,0,  2 862,  1 130,120,0,340,160,0,440,30,0,25,0,35,0,0,  1 438,0,32,0,500
 Mexico,"Toluca,Mexico",Al 30 de junio de 2021,1,  11 162,  3 720,  1 780,  1 150,0,  1 250,880,70,0,350,98,0,480,25,0,22,0,25,0,0,  1 297,0,15,0,0
 Michoacan de Ocampo,"Morelia,Michoacan de Ocampo",2019,1,  6 213,  2 032,  1 616,226,0,27,0,1,0,  2 298,2,0,3,1,0,1,0,2,0,0,4,0,0,0,0
 Michoacan de Ocampo,"Morelia,Michoacan de Ocampo",2020,1,  10 805,  4 896,  2 232,857,0,208,0,6,0,  2 596,2,0,0,1,0,1,0,2,0,0,4,0,0,0,0
 Michoacan de Ocampo,"Morelia,Michoacan de Ocampo",Al 30 de junio de 2021,1,  6 642,  5 124,664,215,0,121,0,8,0,506,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
 Morelos,"Cuernavaca,Morelos",2019,1,  7 957,  1 115,413,38,2,23,20,0,0,171,3,0,1,0,0,0,0,0,0,1,0,0,0,0,  6 170
 Morelos,"Cuernavaca,Morelos",2020,1,  7 619,  1 186,643,18,0,24,16,0,1,198,0,0,1,0,0,0,0,0,0,0,1,0,0,0,  5 531
 Morelos,"Cuernavaca,Morelos",Al 30 de junio de 2021,1,  4 392,  1 082,229,20,0,16,5,0,0,97,1,0,4,0,0,0,0,0,0,0,0,0,0,0,  2 938
